E0419 14:42:37.744116  209679 message_generator.cc:44] MessageGenerator after add_nested_types
E0419 14:42:37.744123  209679 message_generator.cc:46] MessageGenerator finish done
E0419 14:42:37.744130  209679 file_generator.cc:183] FileGenerator constructor 6
E0419 14:42:37.744140  209679 shark.cc:27] Shark Generator 2
E0419 14:42:37.744241  209679 shark.cc:30] Shark Generator 3
E0419 14:42:37.744255  209679 shark.cc:33] Shark Generator 4
E0419 14:42:37.744262  209679 shark.cc:37] Shark Generator 5
E0419 14:42:37.744268  209679 shark.cc:41] Shark Generator 6
E0419 14:42:37.744274  209679 shark.cc:44] Shark Generator 7
E0419 14:42:37.744280  209679 shark.cc:47] Shark Generator 8
E0419 14:42:37.744291  209679 shark.cc:49] Shark Generator 9
E0419 14:42:37.744296  209679 shark.cc:51] Shark Generator 10
E0419 14:42:37.744300  209679 shark.cc:53] Shark Generator 11
W0419 14:45:27.934317  210078 shark.cc:61] Shark Generator 1
E0419 14:45:27.935495  210078 shark.cc:25] Shark Generator 1
E0419 14:45:27.935512  210078 file_generator.cc:137] FileGenerator constructor 1
E0419 14:45:27.935523  210078 file_generator.cc:146] FileGenerator constructor 2
E0419 14:45:27.935529  210078 file_generator.cc:163] FileGenerator constructor 3
E0419 14:45:27.935533  210078 file_generator.cc:168] FileGenerator constructor 4
E0419 14:45:27.935550  210078 file_generator.cc:175] FileGenerator constructor 5
E0419 14:45:27.935557  210078 message_generator.cc:32] MessageGenerator::generate start: Person
E0419 14:45:27.935561  210078 message_generator.cc:51] MessageGenerator::add_member_variables 1 field count:6
E0419 14:45:27.935577  210078 message_generator.cc:53] MessageGenerator::add_member_variables f1
E0419 14:45:27.935581  210078 message_generator.cc:55] MessageGenerator::add_member_variables f2
E0419 14:45:27.935585  210078 message_generator.cc:57] MessageGenerator::add_member_variables f3
E0419 14:45:27.935590  210078 message_generator.cc:59] MessageGenerator::add_member_variables f4
E0419 14:45:27.935595  210078 message_generator.cc:69] MessageGenerator::add_member_variables f5
E0419 14:45:27.935599  210078 message_generator.cc:71] MessageGenerator::add_member_variables f6
E0419 14:45:27.935603  210078 message_generator.cc:53] MessageGenerator::add_member_variables f1
E0419 14:45:27.935606  210078 message_generator.cc:55] MessageGenerator::add_member_variables f2
E0419 14:45:27.935608  210078 message_generator.cc:57] MessageGenerator::add_member_variables f3
E0419 14:45:27.935612  210078 message_generator.cc:59] MessageGenerator::add_member_variables f4
E0419 14:45:27.935616  210078 message_generator.cc:69] MessageGenerator::add_member_variables f5
E0419 14:45:27.935620  210078 message_generator.cc:71] MessageGenerator::add_member_variables f6
E0419 14:45:27.935623  210078 message_generator.cc:53] MessageGenerator::add_member_variables f1
E0419 14:45:27.935625  210078 message_generator.cc:55] MessageGenerator::add_member_variables f2
E0419 14:45:27.935630  210078 message_generator.cc:57] MessageGenerator::add_member_variables f3
E0419 14:45:27.935634  210078 message_generator.cc:59] MessageGenerator::add_member_variables f4
E0419 14:45:27.935638  210078 message_generator.cc:69] MessageGenerator::add_member_variables f5
E0419 14:45:27.935642  210078 message_generator.cc:71] MessageGenerator::add_member_variables f6
